,InscricaoImobiliaria,Ano,lon,lat
1754654,31006851,2020,-43.54774687099996,-22.92028942099995
1763444,31007529,2020,-43.54774687099996,-22.92028942099995
1779267,20008223,2021,-43.61847646299998,-22.90803560399996
1812769,29893146,2020,-43.68990195499998,-22.91420018599996
1814979,30427900,2020,-43.40179331399997,-22.99733591799998
1817816,29899762,2020,-43.32495240399993,-22.84440571599998
1829943,30428551,2020,-43.40309783199996,-22.99523593299995
1829984,30428304,2020,-43.40355696799998,-22.99603429499996
1830384,20322327,2020,-43.61145388899996,-22.99378350999996
1830483,30428148,2021,-43.40179331399997,-22.99733591799998
1830485,30428650,2021,-43.40309783199996,-22.99523593299995
1836413,31080997,2020,-43.54718513499995,-22.91023341899995
1858073,29937232,2020,-43.22432254599994,-22.92110581499998
1858245,31648983,2021,-43.46999576299999,-23.01070151499994
1862799,29935566,2020,-43.28612923399993,-22.84611411499998
1866802,31914328,2020,-43.37897662399996,-23.00407418199995
1871997,30972269,2021,-43.18901955699994,-22.94276483999994
1874848,29941382,2020,-43.54832332499996,-22.92050610599995
1876302,29937174,2020,-43.34373171199996,-22.89471546199997
1880700,29949187,2020,-43.35261651099995,-22.81048174399996
1880818,29949211,2020,-43.64661675699995,-22.98219430099994
1881047,29958683,2020,-43.29878748699997,-22.90568578699998
1881050,29959269,2020,-43.21840444699995,-22.98265548899997
1881051,29959285,2020,-43.28555405299994,-22.84288953299995
1881211,29959137,2020,-43.55873318099998,-22.89466571599996
1881215,29959673,2020,-43.38479508699993,-22.81508715999996
1882866,29964244,2020,-43.43934785899995,-22.89098859599994
1882869,29964376,2020,-43.30683696599993,-22.84297535499996
1883860,29970100,2020,-43.33582894799997,-22.95622730099996
1883865,29970902,2020,-43.69790465699998,-22.92135539199995
1883876,29970258,2020,-43.62163898899996,-22.90858837399998
1883962,29970118,2020,-43.39456546399998,-22.82997440399993
1883964,29970175,2020,-43.45499214699998,-22.98807454199994
1884068,29969649,2020,-43.21491803399994,-22.91311437499996
1884534,29970506,2020,-43.27193133899993,-22.89503446899994
1886140,29964475,2020,-43.25329683799998,-22.90186886199996
1886141,29964541,2020,-43.37495123099995,-22.81588892099995
1886255,29964251,2020,-43.53652488199998,-22.88109453199996
1890413,29958642,2020,-43.46135422799995,-22.86763597899994
1890414,29958691,2020,-43.26626823599997,-22.85287133399993
1890472,29958774,2020,-43.27479792899993,-22.87342215999996
1890587,29958493,2020,-43.31372962899997,-22.83638707599994
1890589,29958931,2020,-43.63285886499995,-22.99842245499997
1890760,29958832,2020,-43.16515894099996,-22.78769696699993
1893260,29960028,2020,-43.28503382999997,-22.82872248099994
1893291,29959632,2020,-43.17775138399998,-22.79247617699997
1893293,29959798,2020,-43.33897575099996,-22.87219347099995
1893294,29959848,2020,-43.18595113599997,-22.91603691999995
1893295,29960143,2020,-43.37288767099994,-22.86784814399994
1893399,29960234,2020,-43.59500049999997,-22.88943681799998
1895211,29968757,2020,-43.62256313399996,-22.99406883499995
1895270,29969078,2020,-43.32065186499995,-22.82947798099997
1895272,29969177,2020,-43.37589864899996,-22.86425249699994
1895273,29969581,2020,-43.40278490399993,-22.83814544299997
1895479,29968922,2020,-43.62812700899997,-22.91201279099994
1895480,29968997,2020,-43.26539596799995,-22.92069564299993
1895482,29969433,2020,-43.31867681899996,-22.83169502199996
1895484,29969508,2020,-43.29014016699995,-22.83548132199996
1895486,29969599,2020,-43.24898365999996,-22.93028812699998
1895558,29969334,2020,-43.27943281999995,-22.85136432999997
1895663,29969094,2020,-43.23805188099993,-22.99430624499996
1895665,29969615,2021,-43.20089804899993,-22.95592374699993
1895668,29969797,2020,-43.19304600999993,-22.95281119799995
1895669,29969813,2020,-43.19304600999993,-22.95281119799995
1895728,29969060,2020,-43.56989353899996,-22.87375448499995
1895735,29969946,2020,-43.25690938899993,-22.86198953799993
1895752,29969466,2021,-43.62426605499996,-22.98983334899998
1895753,29969532,2021,-43.25700412699996,-22.85796217599994
1895891,29969037,2020,-43.17941795299998,-22.81642670799994
1895892,29969102,2020,-43.54460784799994,-23.00005716699997
1895894,29969771,2020,-43.36474585199994,-22.89593589999993
1895895,29969821,2020,-43.19304600999993,-22.95281119799995
1895896,29969904,2020,-43.68876019899994,-22.98511243899998
1896806,29956901,2020,-43.23306302799995,-22.91579739499997
1897563,29958287,2020,-43.56317635799996,-22.91361050499995
1897565,29958360,2020,-43.17948918799993,-22.81713989799994
1897923,29959434,2020,-43.21685915499995,-22.90256251499994
1898060,29958303,2020,-43.61145388899996,-22.99378350999996
1898063,29958485,2020,-43.25766776899997,-22.85035383399997
1898271,29959665,2020,-43.22391142899994,-22.88943452999996
1898272,29959699,2020,-43.35702706299998,-22.92132972999997
1898318,29960168,2020,-43.32528584299996,-22.83785140699996
1898319,29960184,2020,-43.37139179999997,-22.91698806599993
1898321,29960325,2020,-43.48541119299995,-22.87118895699996
1898345,29959376,2020,-43.22768870499993,-22.92735812799998
1898347,29959426,2020,-43.26756524799998,-22.85389990199997
1898732,29959723,2020,-43.55699039499996,-22.89417854499993
1898733,29959764,2020,-43.35878101199995,-22.80820231399997
1898734,29959855,2020,-43.18596564099994,-22.91600186699998
1898770,29959681,2020,-43.33379875799994,-22.87174296599994
1898781,29959731,2020,-43.33137247899998,-22.82923238699993
1898785,29960242,2020,-43.31498697299998,-22.84183362999994
1898893,29959350,2020,-43.58112693599998,-22.88686437399997
1898894,29959368,2020,-43.42265968799995,-22.87752155599998
1899148,29960036,2020,-43.36148188699997,-22.87288532199995
1899181,29960010,2020,-43.31948871599997,-22.85633601699993
1899182,29960127,2020,-43.40185015799995,-22.95661118899994
1903149,29964616,2020,-43.21574985299998,-22.98475191499995
1903152,29964749,2020,-43.62022611699996,-22.90983628399994
1903355,29964491,2020,-43.25329683799998,-22.90186886199996
1903356,29964574,2020,-43.37550799899998,-22.83969188899994
1903590,29964731,2020,-43.62022611699996,-22.90983628399994
1904572,29969003,2020,-43.30878813299995,-22.89589409499996
1904668,29968526,2020,-43.20457637799996,-22.80369624199994
1904731,29968351,2020,-43.27530098099993,-22.89440027699993
1904735,29968534,2020,-43.32423936699996,-22.81135186199998
1904904,29968765,2020,-43.62256313399996,-22.99406883499995
1905065,29968302,2020,-43.31119344799998,-22.82248791299997
1905069,29968500,2020,-43.33045289399996,-22.84107514899995
1905161,29968732,2020,-43.33260075399994,-22.84292906499996
1914741,31258361,2021,-43.21687656799998,-22.90563238299995
1916032,29969342,2020,-43.33046418499998,-22.99982290999998
1916034,29969474,2021,-43.62426605499996,-22.98983334899998
1916233,29970837,2020,-43.61627901199995,-22.96429160099996
1916234,29970894,2020,-43.69790465699998,-22.92135539199995
1919325,29968682,2020,-43.39239473299995,-22.82908507199994
1919332,29969607,2020,-43.66101583499994,-22.98742385199995
1919605,29969219,2021,-43.26513761199993,-22.84116852399995
1919606,29969672,2020,-43.56310639299994,-22.91998995099993
1919610,29969805,2020,-43.19304600999993,-22.95281119799995
1919638,29970035,2020,-43.45185293099996,-22.85600109299997
1919692,29970332,2020,-43.68346869099997,-22.92335940299995
1919736,29970043,2020,-43.57491859399994,-22.87087649899996
1919737,29970050,2020,-43.57491859399994,-22.87087649899996
1919742,29970795,2020,-43.38225916099998,-22.83622228899998
1929316,32986895,2020,-43.56177381499998,-22.88275995899994
1953689,33284282,2020,-43.36031142199994,-22.92378578199998
1954023,33282963,2021,-43.33258673299997,-22.99810895899998
1959086,33284258,2020,-43.36031142199994,-22.92378578199998
1959282,33284266,2020,-43.36031142199994,-22.92378578199998
1959409,33284241,2020,-43.36031142199994,-22.92378578199998
1959617,33284233,2020,-43.36031142199994,-22.92378578199998
1961018,33284274,2020,-43.36031142199994,-22.92378578199998
1984242,30769756,2021,-43.30458345899996,-22.98823565699996
1994790,32287708,2020,-43.33218064999994,-23.00261046099996
